,Neighborhood,Zip,Latitude,Longitude,RE_index
0,Centro,10122,45.4668,9.1905,9.947
1,Arco della Pace,20154,45.47569195,9.172427802834267,8.335
2,Arena,20121,45.47526420000001,9.1815638,8.335
3,Pagano,20145,45.4682848,9.1610998,8.335
4,Genova,20144,45.452879,9.169715,7.534
5,Ticinese,20136,45.45059595,9.181950867801676,7.534
6,Quadronno,20136,45.45418170000001,9.1917427,8.465
7,Palestro,20121,45.47100579999999,9.2014773,8.465
8,Guastalla,20122,45.4582521,9.2000227,8.465
9,Garibaldi,25122,45.483808,9.186738,8.745
10,Moscova,20121,45.4770906,9.1843416,8.745
11,Porta Nuova,20121,45.480083,9.192617,8.745
12,Fiera,20148,45.4791995,9.143776,5.984
13,Sempione,20154,45.47710410000001,9.1701771,5.984
14,City Life,20124,45.4833239,9.2022214,5.984
15,Portello,20149,45.4878196,9.1490111,5.984
16,Navigli,20143,45.45017595,9.170896861625444,5.816
17,Porta Romana,20135,45.45223920000001,9.20205595,6.18
18,Cadore,20854,45.458562,9.212963,6.18
19,Montenero,20867,45.456857,9.204998,6.18
20,Porta Venezia,20219,45.47449805,9.204801191054779,6.622000000000001
21,Indipendenza,20129,45.468429,9.213323,6.622000000000001
22,Centrale,20124,45.4843523,9.203371699999998,6.105
23,Repubblica,20214,45.4803739,9.1988454,6.105
24,Cenisio,20154,45.4875646,9.1722651,5.647
25,Sarpi,20154,45.4830418,9.172131735619072,5.647
26,Isola,20159,45.4875652,9.1889721,5.647
27,Viale Certosa,20156,45.4949246,9.1408191,3.112
28,Cascina Merlata,20151,45.509007,9.100945,3.112
29,Bande Nere,20146,45.461504,9.1364845,3.833
30,Inganni,20147,45.457563,9.1222629,3.833
31,Famagosta,20142,45.436895,9.1680126,3.656
32,Barona,20142,45.432935,9.166053,3.656
33,Abbiategrasso,20081,45.430435,9.176308,3.582
34,Chiesa Rossa,20142,45.4310758,9.1769743,3.582
35,Porta Vittoria,20129,45.4622607,9.2095796,4.058
36,Lodi,20139,45.44387620000001,9.2245407,4.058
37,Cimiano,20132,45.50116660000001,9.2446195,2.855
38,Crescenzago,20132,45.5092191,9.2474843,2.855
39,Adriano,20132,45.5135717,9.251201850969608,2.855
40,Bicocca,20126,45.5149166,9.2111381,3.0380000000000003
41,Niguarda,20162,45.5169738,9.1924879,3.0380000000000003
42,Solari,20144,45.4590225,9.1648878,6.144
43,Washington,20144,45.4612061,9.15631041155902,6.144
44,Affori,20161,45.5170295,9.1696533,2.762
45,Bovisa,20155,45.5027696,9.1612638,2.762
46,San Siro,20148,45.47820035,9.123963990691447,3.285
47,Trenno,20151,45.4906416,9.1008711,3.285
48,Bisceglie,20152,45.4553804,9.1129255,2.257
49,Baggio,20153,45.4613839,9.089843,2.257
50,Olmi,20094,45.416825,9.1265573,2.257
51,Ripamonti,20141,45.42851865,9.203143715025023,3.629
52,Vigentino,20141,45.4351394,9.1986952,3.629
53,Forlanini,20139,45.44387620000001,9.2245407,2.639
54,Città Studi,20133,45.4770557,9.2265746,4.792
55,Susa,20133,45.4674835,9.2234299,4.792
56,Maggiolina,20124,45.4924833,9.2023686,4.391
57,Istria,20125,45.5016262,9.19792,4.391
58,Precotto,20128,45.5126511,9.2250038,3.386
59,Turro,20127,45.4975135,9.2258964,3.386
60,Udine,20132,45.4912044,9.2369964,3.404
61,Lambrate,20134,45.4831483,9.2419983,3.404
62,Pasteur,20172,45.49028320000001,9.2179467,3.431
63,Rovereto,20127,45.4955331,9.2195058,3.431
64,Ponte Lambro,20138,45.4428414,9.2635975,2.367
65,Santa Giulia,20138,45.4368295,9.2437113,2.367
66,Corvetto,20139,45.4376794,9.2247144,3.1010000000000004
67,Rogoredo,20138,45.4315725,9.2444801,3.1010000000000004
68,Napoli,20143,45.4529843,9.1550374,4.51
69,Soderini,20147,45.4539443,9.133483300000002,4.51
