,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Susa,45.4674835,9.2234299,La Ciribiciaccola,45.46953970518125,9.223774603822047,Dessert Shop
1,Susa,45.4674835,9.2234299,Locanda del Menarost,45.46518421833041,9.22147073759099,Italian Restaurant
2,Susa,45.4674835,9.2234299,Pizzeria Ciak,45.467877794959236,9.225039154518747,Pizza Place
3,Susa,45.4674835,9.2234299,Fujiyama,45.46919270355162,9.223766346110159,Sushi Restaurant
4,Susa,45.4674835,9.2234299,Ristorante Il Grissino,45.471247520686795,9.221943552153771,Italian Restaurant
5,Susa,45.4674835,9.2234299,Trattoria L'Albero Fiorito,45.468937661384835,9.226067551591004,Trattoria/Osteria
6,Susa,45.4674835,9.2234299,La Mongolfiera,45.469146,9.225187,Italian Restaurant
7,Susa,45.4674835,9.2234299,Hotel Susa Milan,45.46785829374992,9.226829623112295,Hotel
8,Susa,45.4674835,9.2234299,Pastis,45.464113,9.223089,Café
9,Susa,45.4674835,9.2234299,Tennis Club Lombardo,45.465449455151806,9.225360296415506,Tennis Court
10,Susa,45.4674835,9.2234299,Osteria Da Francesca,45.4679509,9.228315,Italian Restaurant
11,Susa,45.4674835,9.2234299,Ristorante Piero e Pia,45.47169,9.22154,Restaurant
12,Susa,45.4674835,9.2234299,Boom,45.46335865581949,9.22440241945305,Café
13,Susa,45.4674835,9.2234299,WOW Spazio Fumetto,45.46336866971719,9.224328016714013,Art Gallery
14,Susa,45.4674835,9.2234299,Viva Milano Hotel,45.47053800888156,9.222533309678793,Hotel
15,Susa,45.4674835,9.2234299,Blender,45.468799820705655,9.223662971579785,Cocktail Bar
16,Susa,45.4674835,9.2234299,Pasticceria Vecchia Milano,45.46660543297242,9.22644337122443,Cupcake Shop
17,Susa,45.4674835,9.2234299,Gelateria Pinocchio,45.46893347799623,9.22241183254289,Ice Cream Shop
18,Susa,45.4674835,9.2234299,Birreria Stella,45.468349747836214,9.226229407303121,Pub
19,Susa,45.4674835,9.2234299,Carrefour Express,45.469373142993895,9.224919689701995,Convenience Store
20,Susa,45.4674835,9.2234299,I Sapori Del Mare,45.46935583378671,9.218581455933409,Seafood Restaurant
21,Susa,45.4674835,9.2234299,Fermata ATM Piazza Ferravilla [5] [90] [91],45.47098996029219,9.22384103075342,Tram Station
22,Susa,45.4674835,9.2234299,Piazza Guardi,45.470091423203534,9.226635525131314,Park
23,Susa,45.4674835,9.2234299,Sushi Bar Ye,45.46575399646377,9.2239772586543,Japanese Restaurant
24,Susa,45.4674835,9.2234299,Piazzale Susa,45.46903030940225,9.223722956421854,Plaza
25,Susa,45.4674835,9.2234299,Mayorca Hotel,45.468957686868464,9.225873186409927,Hotel
26,Susa,45.4674835,9.2234299,Baialuna,45.468180266126275,9.222900242543744,Cocktail Bar
27,Susa,45.4674835,9.2234299,Ristorante Pizzeria La Verde Luna,45.4712513739687,9.223654973351572,Pizza Place
